OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,17104,2020/12/10 23:00:00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},589.026759323129,283,67.9116446085834,1972,5,"67,9",20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,28202,2020/12/10 23:00:00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},1526.69937469313,458,105.129075443375,1942,5,"105,1",3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,82321,2020/12/10 23:00:00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},1029.83533843541,1380,79.388431356654,6346,15,"79,4",29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,11366,2020/12/10 23:00:00,04,{4132268B-54DE-4327-AC1E-760E915112F1},1668.52123158769,150,129.330213358152,881,1,"129,3",2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,305464,2020/12/10 23:00:00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},1702.01280744244,4346,153.266068323335,27507,95,"153,3",19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,102817,2020/12/10 23:00:00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},1635.10960420351,1659,151.683820816529,9538,37,"151,7",15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,53467,2020/12/10 23:00:00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},1306.01531106135,805,143.38395413863,5870,36,"143,4",13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,179160,2020/12/10 23:00:00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},1613.99676443917,3293,168.885897203288,18747,56,"168,9",18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,248679,2020/12/10 23:00:00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},1894.73510973972,4723,188.186628044432,24699,71,"188,2",29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,15178,2020/12/10 23:00:00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},1537.96736607129,294,169.117639608182,1669,3,"169,1",4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,76204,2020/12/10 23:00:00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},2076.69129042693,768,182.804645112905,6708,20,"182,8",2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,24910,2020/12/10 23:00:00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},987.750075042835,464,112.61381827064,2840,14,"112,6",18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,7597,2020/12/10 23:00:00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},472.409706132185,94,70.8272548748926,1139,8,"70,8",30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,78704,2020/12/10 23:00:00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},1932.82319545007,1505,313.140737004266,12751,49,"313,1",15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,17087,2020/12/10 23:00:00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},778.528345867608,251,135.229831482124,2968,22,"135,2",14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,23818,2020/12/10 23:00:00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},1116.44537442497,497,195.183413347283,4164,21,"195,2",15.0324529635839,2.07032354616438
